t,icp_pos_err_mm
19.751000,3.6009
19.776000,3.9547
19.801000,3.8916
19.826000,3.5335
19.851000,3.7802
19.876000,1.3186
19.901000,2.3641
19.926000,2.4772
19.951000,6.1446
19.976000,3.6359
20.026000,2.1957
20.051000,4.6715
20.076000,1.5743
20.101000,2.9320
20.151000,2.8727
20.176000,2.8549
20.201000,5.1892
20.226000,3.3726
20.251000,2.7689
20.276000,6.2862
20.301000,1.4683
20.326000,2.0110
20.351000,2.0637
20.376000,5.8978
20.401000,2.4582
20.426000,6.3890
20.451000,2.0064
20.476000,2.8266
20.526000,9.5983
20.551000,1.3282
20.576000,3.0881
20.601000,1.4687
20.651000,1.6275
20.676000,6.1816
20.701000,2.3197
20.726000,2.6001
20.751000,3.5836
20.776000,1.3750
20.801000,5.2185
20.826000,1.8890
20.851000,2.1537
20.876000,15.4278
20.901000,7.2693
20.926000,7.6121
20.976000,1.2839
21.001000,1.3946
21.026000,4.6055
21.051000,7.1873
21.076000,6.4042
21.101000,1.1800
21.126000,5.1432
21.151000,7.5173
21.176000,2.0077
21.201000,4.8024
21.226000,4.3493
21.251000,2.0115
21.276000,8.6454
21.301000,11.0855
21.326000,10.6382
21.376000,6.3642
21.426000,10.0936
21.451000,3.9665
21.476000,4.9689
21.501000,8.5328
21.526000,11.2689
21.551000,5.4804
21.576000,8.9396
21.601000,8.3829
21.651000,3.7713
21.676000,5.5183
21.701000,6.0810
21.726000,3.9355
21.751000,9.9320
21.776000,6.1845
21.801000,6.3684
21.826000,5.9460
21.851000,5.3554
21.876000,5.7445
21.901000,6.2737
21.951000,5.6057
21.976000,12.2073
22.001000,7.8710
22.026000,7.7956
22.051000,12.4033
22.076000,7.7442
22.126000,3.4508
22.151000,8.4777
22.176000,9.5532
22.201000,6.3919
22.226000,6.0732
22.251000,3.6829
22.351000,16.7609
22.376000,11.5350
22.426000,9.9257
22.451000,9.3731
22.476000,7.2211
22.501000,6.8361
22.526000,7.9873
22.551000,7.9456
22.576000,10.3432
22.601000,4.9473
22.626000,7.0110
22.651000,6.5772
22.676000,10.6770
22.701000,8.1416
22.726000,6.7667
22.751000,8.2729
22.776000,6.2755
22.801000,7.6079
22.826000,11.5438
22.851000,5.0170
22.876000,9.6014
22.901000,9.0286
22.926000,6.7817
22.951000,7.5657
22.976000,5.2899
23.001000,7.2809
23.026000,9.2076
23.051000,10.6214
23.076000,7.2209
23.101000,9.2054
23.126000,7.7147
23.151000,5.9874
23.176000,8.7034
23.201000,17.0888
23.226000,15.3920
23.251000,15.1686
23.276000,15.6098
23.301000,7.5823
23.326000,9.6994
23.351000,8.4015
23.376000,10.5680
23.401000,10.3557
23.426000,10.7322
23.451000,10.1911
23.501000,9.2103
23.526000,9.1265
23.551000,7.7781
23.576000,8.3681
23.601000,9.0052
23.626000,6.7290
23.651000,8.2718
23.676000,9.0533
23.701000,7.5604
23.751000,9.6048
23.776000,9.4762
23.801000,12.0196
23.826000,8.5334
23.851000,9.1273
23.876000,9.7260
23.901000,8.0531
23.926000,12.8780
23.951000,10.3234
23.976000,9.1284
24.001000,13.0758
24.026000,11.2475
24.051000,10.4402
24.076000,6.9252
24.101000,10.9568
24.151000,4.7849
24.176000,12.1480
24.201000,7.5979
24.251000,8.3226
24.276000,8.1652
24.301000,8.3258
24.326000,9.0056
24.351000,10.2104
24.376000,6.8273
24.401000,9.7226
24.426000,11.9759
24.451000,9.6089
24.476000,10.7265
24.501000,8.7582
24.526000,11.7163
24.551000,7.4126
24.576000,9.5692
24.601000,10.1211
24.626000,10.7706
24.651000,14.3288
24.676000,11.1213
24.701000,12.3811
24.726000,10.5814
24.751000,11.6014
24.776000,9.0440
24.801000,8.5347
24.826000,12.6992
24.851000,9.2115
24.876000,10.3255
24.901000,9.4837
24.926000,10.1070
24.951000,6.6919
24.976000,7.6172
25.001000,6.4553
25.026000,8.9403
25.051000,4.5847
25.076000,5.9812
25.101000,6.9238
25.126000,10.5186
25.151000,8.3152
25.176000,7.1128
25.201000,7.3425
25.226000,7.9369
25.251000,4.0212
25.276000,8.1594
25.301000,7.9081
25.326000,6.4157
25.351000,6.2584
25.376000,7.5612
25.401000,4.1693
25.426000,5.7130
25.451000,4.5608
25.476000,3.1677
25.501000,8.6600
25.526000,4.6400
25.551000,6.7268
25.576000,5.9536
25.601000,6.0973
25.626000,1.7632
25.651000,3.0127
25.676000,8.9195
25.701000,5.8991
25.726000,6.7919
25.751000,7.4972
25.776000,5.7662
25.801000,5.6734
25.826000,6.9421
25.851000,7.8724
25.876000,5.0601
25.901000,4.1639
25.926000,5.8186
25.951000,8.1513
25.976000,4.5340
26.001000,6.1897
26.026000,6.6209
26.051000,4.8931
26.076000,7.1543
26.101000,4.4914
26.126000,0.7975
26.151000,5.8479
26.226000,6.2020
26.251000,4.2318
26.276000,6.8250
26.301000,3.4669
26.351000,2.6603
26.376000,5.5970
26.401000,1.2431
26.426000,1.5722
26.451000,2.9774
26.476000,1.7169
26.526000,4.7081
26.551000,5.8278
26.576000,3.3478
26.601000,2.0415
26.626000,2.3923
26.651000,4.1122
26.676000,0.2088
26.701000,3.7815
26.726000,4.6185
26.751000,5.0604
26.776000,4.2221
26.826000,2.6969
26.851000,2.8515
26.876000,8.4726
26.901000,6.0740
26.926000,3.4049
27.001000,5.9142
27.026000,3.6684
27.051000,5.4336
27.076000,2.1012
27.101000,6.4194
27.151000,5.1614
27.176000,4.8477
27.201000,4.9183
27.226000,5.0690
27.251000,1.8378
27.276000,2.8726
27.301000,2.3287
27.326000,6.4806
27.351000,5.6654
27.376000,1.1557
27.401000,6.0338
27.426000,4.3438
27.451000,2.0335
27.476000,3.9812
27.501000,5.8667
27.526000,4.2910
27.551000,6.0887
27.576000,2.7489
27.601000,4.7990
27.626000,3.3040
27.651000,4.1427
27.726000,3.1607
27.751000,4.9671
27.776000,5.2447
27.801000,5.9606
27.826000,3.5486
27.851000,4.7817
27.876000,4.3449
27.901000,4.7046
27.926000,5.4587
27.951000,4.2320
27.976000,5.7538
28.026000,5.1894
28.051000,3.8075
28.076000,6.0411
28.101000,6.8163
28.126000,6.1365
28.176000,2.7333
28.201000,7.2354
28.226000,1.4164
28.251000,4.1556
28.276000,3.5926
28.301000,6.5394
28.326000,3.0946
28.376000,5.2777
28.401000,7.2494
28.426000,4.6089
28.451000,4.9984
28.476000,3.6976
28.501000,7.6996
28.526000,4.3081
28.601000,6.2134
28.626000,3.3771
28.651000,6.1484
28.701000,12.9254
28.726000,12.5735
28.751000,9.7240
28.776000,9.5261
28.801000,10.6222
28.826000,12.0528
28.876000,14.1490
28.901000,11.4622
28.951000,12.4851
28.976000,9.4713
29.001000,12.8180
29.026000,6.8096
29.076000,1.5724
29.126000,4.1881
29.151000,5.9175
29.176000,7.3917
29.201000,3.0638
29.276000,6.3620
29.326000,3.4745
29.351000,13.5608
29.376000,12.2576
29.401000,13.3254
29.451000,13.9752
