t,along_track_mm,cross_track_mm,speed_mps
0.804000,4.8737,-1.7352,0.0030
0.805000,4.8750,-1.7401,0.0030
0.806000,4.8768,-1.7433,0.0030
0.807000,4.8765,-1.7523,0.0030
0.807000,4.9896,0.6881,0.0024
0.808000,4.9925,0.6849,0.0024
0.809000,4.9956,0.6795,0.0024
0.810000,4.9981,0.6789,0.0024
0.811000,4.9997,0.6847,0.0024
0.812000,5.0011,0.6919,0.0024
0.813000,5.0025,0.6991,0.0024
0.814000,5.0043,0.7030,0.0024
0.815000,5.0058,0.7098,0.0024
0.816000,5.0076,0.7134,0.0024
0.817000,5.0099,0.7144,0.0024
0.818000,5.0127,0.7113,0.0024
0.819000,5.0152,0.7104,0.0024
0.820000,5.0174,0.7116,0.0024
0.821000,5.0202,0.7079,0.0023
0.822000,5.0225,0.7083,0.0023
0.823000,5.0244,0.7114,0.0023
0.824000,5.0264,0.7141,0.0023
0.825000,5.0279,0.7199,0.0023
0.826000,5.0296,0.7241,0.0023
0.827000,5.0320,0.7231,0.0023
0.827000,4.4977,2.4579,0.0028
0.828000,4.4968,2.4646,0.0028
0.829000,4.4964,2.4705,0.0028
0.830000,4.4972,2.4740,0.0028
0.831000,4.4971,2.4792,0.0028
0.832000,4.4974,2.4835,0.0028
0.833000,4.4976,2.4882,0.0028
0.834000,4.5000,2.4890,0.0027
0.835000,4.5011,2.4919,0.0027
0.836000,4.5029,2.4936,0.0027
0.837000,4.5053,2.4943,0.0027
0.838000,4.5073,2.4956,0.0027
0.839000,4.5097,2.4962,0.0027
0.840000,4.5125,2.4960,0.0027
0.841000,4.5125,2.5010,0.0027
0.842000,4.5119,2.5069,0.0027
0.843000,4.5102,2.5149,0.0027
0.844000,4.5074,2.5248,0.0027
0.845000,4.5062,2.5318,0.0027
0.846000,4.5056,2.5378,0.0027
0.847000,4.5051,2.5435,0.0027
0.848000,4.5050,2.5484,0.0027
0.849000,4.5010,2.5602,0.0027
0.850000,4.4969,2.5722,0.0027
0.850000,3.7023,3.1231,0.0018
0.851000,3.6981,3.1302,0.0018
0.852000,3.6914,3.1402,0.0018
0.853000,3.6852,3.1497,0.0018
0.854000,3.6770,3.1613,0.0018
0.855000,3.6668,3.1753,0.0018
0.856000,3.6549,3.1910,0.0018
0.856000,0.9513,4.3497,0.0009
0.857000,0.8964,4.3615,0.0009
0.858000,0.8399,4.3729,0.0009
0.859000,0.7932,4.3818,0.0009
0.860000,0.7506,4.3895,0.0009
0.861000,0.7196,4.3948,0.0009
0.862000,0.6739,4.4022,0.0009
0.863000,0.6197,4.4103,0.0009
0.864000,0.5717,4.4169,0.0009
0.865000,0.5240,4.4229,0.0009
0.866000,0.4773,4.4283,0.0009
0.867000,0.4244,4.4338,0.0009
0.868000,0.3826,4.4376,0.0009
0.869000,0.3381,4.4413,0.0009
0.870000,0.2990,4.4442,0.0009
0.871000,0.2551,4.4470,0.0009
0.872000,0.2122,4.4493,0.0009
0.873000,0.1796,4.4508,0.0009
0.874000,0.1428,4.4521,0.0009
0.875000,0.0990,4.4533,0.0009
0.876000,0.0607,4.4540,0.0009
0.877000,0.0280,4.4544,0.0009
0.878000,-0.0040,4.4545,0.0009
0.879000,-0.0520,4.4542,0.0009
0.880000,-0.0930,4.4535,0.0009
0.881000,-0.1285,4.4526,0.0009
0.882000,-0.1608,4.4515,0.0009
0.883000,-0.1932,4.4502,0.0009
0.884000,-0.2202,4.4489,0.0010
0.885000,-0.2461,4.4475,0.0010
0.886000,-0.2732,4.4458,0.0010
0.887000,-0.2965,4.4443,0.0010
0.888000,-0.3221,4.4424,0.0010
0.889000,-0.3394,4.4410,0.0010
0.890000,-0.3546,4.4398,0.0010
0.891000,-0.3799,4.4376,0.0010
0.892000,-0.4106,4.4348,0.0010
0.893000,-0.4365,4.4322,0.0010
0.894000,-0.4752,4.4281,0.0010
0.895000,-0.4973,4.4256,0.0010
0.896000,-0.5120,4.4238,0.0010
0.897000,-0.5406,4.4203,0.0010
0.898000,-0.5679,4.4167,0.0010
0.899000,-0.6077,4.4113,0.0010
0.900000,-0.6567,4.4041,0.0010
0.901000,-0.7110,4.3955,0.0010
0.901000,2.7877,3.7989,0.0009
0.902000,2.7548,3.8235,0.0009
0.903000,2.7202,3.8489,0.0009
0.904000,2.6882,3.8719,0.0009
0.905000,2.6498,3.8989,0.0009
0.906000,2.6177,3.9211,0.0009
0.907000,2.5781,3.9479,0.0009
0.908000,2.5342,3.9768,0.0009
0.909000,2.4911,4.0045,0.0009
0.910000,2.4467,4.0323,0.0009
0.911000,2.4066,4.0568,0.0009
0.912000,2.3529,4.0887,0.0009
0.913000,2.3061,4.1158,0.0009
0.914000,2.2511,4.1466,0.0009
0.914000,4.7975,-0.3129,0.0006
0.915000,4.7971,-0.3290,0.0006
0.916000,4.7972,-0.3358,0.0006
0.917000,4.7975,-0.3403,0.0006
0.918000,4.7984,-0.3369,0.0006
0.919000,4.7967,-0.3668,0.0006
0.920000,4.7948,-0.3983,0.0006
0.921000,4.7939,-0.4158,0.0006
0.922000,4.7936,-0.4252,0.0005
0.923000,4.7929,-0.4390,0.0005
0.924000,4.7935,-0.4380,0.0005
0.925000,4.7927,-0.4526,0.0005
0.926000,4.7944,-0.4391,0.0005
0.927000,4.7965,-0.4222,0.0005
0.928000,4.7986,-0.4034,0.0005
0.929000,4.8011,-0.3786,0.0005
0.930000,4.7999,-0.3990,0.0005
0.931000,4.7970,-0.4375,0.0005
0.932000,4.7965,-0.4478,0.0005
0.933000,4.7970,-0.4469,0.0004
0.934000,4.7964,-0.4586,0.0004
0.935000,4.7961,-0.4655,0.0004
0.936000,4.7956,-0.4746,0.0004
0.937000,4.7943,-0.4917,0.0004
0.938000,4.7947,-0.4915,0.0004
0.939000,4.7974,-0.4688,0.0004
0.940000,4.8021,-0.4217,0.0004
0.941000,4.8051,-0.3903,0.0003
0.941000,2.5427,-4.1298,0.0009
0.942000,2.5080,-4.1515,0.0009
0.943000,2.4818,-4.1678,0.0009
0.944000,2.4661,-4.1777,0.0009
0.945000,2.4416,-4.1925,0.0009
0.946000,2.4050,-4.2141,0.0009
0.947000,2.3665,-4.2364,0.0009
0.948000,2.3408,-4.2511,0.0009
0.949000,2.3067,-4.2702,0.0009
0.950000,2.2804,-4.2848,0.0009
0.951000,2.2354,-4.3089,0.0009
0.952000,2.1932,-4.3310,0.0009
0.953000,2.1426,-4.3566,0.0009
0.954000,2.0865,-4.3842,0.0009
0.955000,2.0320,-4.4101,0.0009
0.956000,1.9748,-4.4364,0.0009
0.957000,1.9096,-4.4653,0.0009
0.958000,1.8464,-4.4921,0.0009
0.959000,1.7880,-4.5161,0.0009
0.960000,1.7202,-4.5427,0.0009
0.961000,1.6576,-4.5662,0.0009
0.962000,1.6091,-4.5838,0.0009
0.963000,1.5566,-4.6022,0.0009
0.964000,1.5082,-4.6186,0.0009
0.965000,1.4796,-4.6281,0.0009
0.966000,1.4507,-4.6376,0.0009
0.967000,1.4025,-4.6526,0.0009
0.968000,1.3514,-4.6680,0.0009
0.969000,1.2924,-4.6849,0.0009
0.969000,0.1320,-4.7892,0.0002
0.970000,-0.0399,-4.7909,0.0002
0.971000,-0.2121,-4.7864,0.0003
0.972000,-0.4476,-4.7701,0.0003
0.973000,-0.6393,-4.7482,0.0003
0.974000,-0.8373,-4.7172,0.0003
0.975000,-1.0010,-4.6852,0.0003
0.976000,-1.1895,-4.6408,0.0003
0.977000,-1.3203,-4.6053,0.0003
0.978000,-1.4226,-4.5746,0.0003
0.979000,-1.5185,-4.5436,0.0003
0.980000,-1.6438,-4.4997,0.0003
0.981000,-1.7369,-4.4644,0.0003
0.982000,-1.7949,-4.4413,0.0003
0.983000,-1.8497,-4.4187,0.0003
0.984000,-1.8741,-4.4082,0.0003
0.985000,-1.8946,-4.3994,0.0003
0.986000,-1.9695,-4.3662,0.0003
0.987000,-2.0605,-4.3239,0.0003
0.988000,-2.1960,-4.2565,0.0003
0.989000,-2.3037,-4.1990,0.0003
0.990000,-2.4189,-4.1336,0.0003
0.991000,-2.5129,-4.0769,0.0003
0.992000,-2.6103,-4.0151,0.0003
0.993000,-2.6988,-3.9559,0.0003
0.994000,-2.7906,-3.8914,0.0003
0.995000,-2.8408,-3.8547,0.0004
0.996000,-2.8635,-3.8376,0.0004
0.997000,-2.8874,-3.8193,0.0004
0.998000,-2.9395,-3.7791,0.0004
0.999000,-2.9802,-3.7467,0.0004
1.000000,-2.9868,-3.7412,0.0004
1.001000,-2.9993,-3.7308,0.0004
1.002000,-3.0154,-3.7175,0.0004
1.003000,-3.0226,-3.7113,0.0004
1.004000,-3.0246,-3.7094,0.0004
1.005000,-3.0265,-3.7074,0.0004
1.005000,-2.1530,-4.1545,0.0012
1.005000,-4.2789,0.4654,0.0017
1.006000,-4.2783,0.4545,0.0017
1.007000,-4.2775,0.4463,0.0017
1.008000,-4.2766,0.4379,0.0018
1.009000,-4.2757,0.4288,0.0018
1.010000,-4.2753,0.4158,0.0018
1.011000,-4.2744,0.4067,0.0018
1.012000,-4.2728,0.4045,0.0018
1.013000,-4.2712,0.4023,0.0018
1.014000,-4.2695,0.4022,0.0018
1.015000,-4.2674,0.4047,0.0018
1.016000,-4.2657,0.4042,0.0018
1.017000,-4.2640,0.4026,0.0018
1.018000,-4.2619,0.4052,0.0018
1.019000,-4.2604,0.4018,0.0018
1.020000,-4.2592,0.3948,0.0019
1.021000,-4.2589,0.3776,0.0019
1.022000,-4.2583,0.3624,0.0019
1.023000,-4.2579,0.3451,0.0019
1.024000,-4.2574,0.3273,0.0019
1.025000,-4.2563,0.3162,0.0019
1.026000,-4.2549,0.3093,0.0019
1.027000,-4.2531,0.3082,0.0019
1.028000,-4.2511,0.3083,0.0019
1.029000,-4.2489,0.3120,0.0019
1.030000,-4.2467,0.3160,0.0020
1.031000,-4.2451,0.3105,0.0020
1.032000,-4.2435,0.3055,0.0020
1.033000,-4.2420,0.2988,0.0020
1.034000,-4.2404,0.2934,0.0020
1.035000,-4.2387,0.2889,0.0020
1.036000,-4.2367,0.2875,0.0020
1.037000,-4.2344,0.2916,0.0020
1.038000,-4.2317,0.3018,0.0020
1.039000,-4.2288,0.3134,0.0021
1.040000,-4.2259,0.3242,0.0021
1.041000,-4.2233,0.3313,0.0021
1.042000,-4.2207,0.3371,0.0021
1.043000,-4.2181,0.3439,0.0021
1.044000,-4.2156,0.3489,0.0021
1.045000,-4.2131,0.3530,0.0021
1.046000,-4.2108,0.3547,0.0021
1.046000,-3.4985,-1.5150,0.0036
1.047000,-3.4971,-1.5099,0.0036
1.048000,-3.4953,-1.5059,0.0036
1.049000,-3.4934,-1.5020,0.0036
