t,n,x_n,y_n,x_degenerate,y_degenerate
9.626,541,270,271,0,0
9.651,541,270,271,0,0
9.701,541,270,271,0,0
9.726,541,270,271,0,0
9.751,541,270,271,0,0
9.776,541,270,271,0,0
9.801,541,270,271,0,0
9.826,541,270,271,0,0
9.851,541,270,271,0,0
9.876,541,270,271,0,0
9.901,541,270,271,0,0
9.926,541,270,271,0,0
9.951,541,270,271,0,0
9.976,541,270,271,0,0
10.001,541,270,271,0,0
10.026,541,270,271,0,0
10.051,541,270,271,0,0
10.076,541,270,271,0,0
10.101,541,270,271,0,0
10.126,541,270,271,0,0
10.151,541,270,271,0,0
10.176,541,270,271,0,0
10.201,541,270,271,0,0
10.226,541,270,271,0,0
10.251,541,270,271,0,0
10.276,541,270,271,0,0
10.301,541,270,271,0,0
10.326,541,270,271,0,0
10.351,541,270,271,0,0
10.376,541,270,271,0,0
10.401,541,270,271,0,0
10.426,541,270,271,0,0
10.451,541,270,271,0,0
10.476,541,270,271,0,0
10.501,541,270,271,0,0
10.526,541,270,271,0,0
10.551,541,270,271,0,0
10.576,541,270,271,0,0
10.601,541,270,271,0,0
10.626,541,270,271,0,0
10.676,541,270,271,0,0
10.701,534,267,267,0,0
10.726,531,265,266,0,0
10.751,532,266,266,0,0
10.776,521,260,261,0,0
10.801,520,260,260,0,0
10.826,520,260,260,0,0
10.851,510,255,255,0,0
10.876,504,252,252,0,0
10.901,505,252,253,0,0
10.926,504,252,252,0,0
10.951,497,248,249,0,0
10.976,493,246,247,0,0
11.001,521,260,261,0,0
11.026,487,243,244,0,0
11.051,520,260,260,0,0
11.076,519,259,260,0,0
11.101,520,260,260,0,0
11.126,519,259,260,0,0
11.151,516,258,258,0,0
11.176,519,259,260,0,0
11.201,519,259,260,0,0
11.226,519,259,260,0,0
11.251,519,259,260,0,0
11.276,515,257,258,0,0
11.301,519,259,260,0,0
11.326,487,243,244,0,0
11.351,487,243,244,0,0
11.376,489,244,245,0,0
11.401,491,245,246,0,0
11.426,490,245,245,0,0
11.451,490,245,245,0,0
11.476,491,245,246,0,0
11.501,492,246,246,0,0
11.526,492,246,246,0,0
11.551,486,243,243,0,0
11.576,491,245,246,0,0
11.601,492,246,246,0,0
11.626,491,245,246,0,0
11.651,491,245,246,0,0
11.676,492,246,246,0,0
11.701,493,246,247,0,0
11.726,492,246,246,0,0
11.751,492,246,246,0,0
11.776,493,246,247,0,0
11.801,492,246,246,0,0
11.826,511,255,256,0,0
11.851,492,246,246,0,0
11.876,492,246,246,0,0
11.901,488,244,244,0,0
11.926,492,246,246,0,0
11.951,492,246,246,0,0
11.976,492,246,246,0,0
12.001,492,246,246,0,0
12.026,492,246,246,0,0
12.051,493,246,247,0,0
12.076,494,247,247,0,0
12.101,490,245,245,0,0
12.126,492,246,246,0,0
12.151,491,245,246,0,0
12.176,492,246,246,0,0
12.201,491,245,246,0,0
12.226,492,246,246,0,0
12.251,492,246,246,0,0
12.276,491,245,246,0,0
12.301,491,245,246,0,0
12.326,490,245,245,0,0
12.351,491,245,246,0,0
12.376,490,245,245,0,0
12.401,491,245,246,0,0
12.426,491,245,246,0,0
12.451,491,245,246,0,0
12.476,490,245,245,0,0
12.501,509,254,255,0,0
12.526,492,246,246,0,0
12.551,490,245,245,0,0
12.576,490,245,245,0,0
12.601,491,245,246,0,0
12.626,490,245,245,0,0
12.651,492,246,246,0,0
12.676,490,245,245,0,0
12.701,490,245,245,0,0
12.726,491,245,246,0,0
12.751,492,246,246,0,0
12.776,491,245,246,0,0
12.801,492,246,246,0,0
12.826,490,245,245,0,0
12.851,492,246,246,0,0
12.876,489,244,245,0,0
12.901,491,245,246,0,0
12.926,489,244,245,0,0
12.951,486,243,243,0,0
12.976,490,245,245,0,0
13.001,492,246,246,0,0
13.026,489,244,245,0,0
13.051,491,245,246,0,0
13.076,490,245,245,0,0
13.101,493,246,247,0,0
13.126,509,254,255,0,0
13.151,491,245,246,0,0
13.176,491,245,246,0,0
13.201,490,245,245,0,0
13.226,490,245,245,0,0
13.251,487,243,244,0,0
13.276,493,246,247,0,0
13.301,490,245,245,0,0
13.326,490,245,245,0,0
13.376,491,245,246,0,0
13.401,490,245,245,0,0
13.426,493,246,247,0,0
13.451,491,245,246,0,0
13.476,490,245,245,0,0
13.501,491,245,246,0,0
13.526,490,245,245,0,0
13.551,489,244,245,0,0
13.576,491,245,246,0,0
13.601,490,245,245,0,0
13.626,490,245,245,0,0
13.651,491,245,246,0,0
13.676,492,246,246,0,0
13.701,486,243,243,0,0
13.726,492,246,246,0,0
13.751,490,245,245,0,0
13.776,491,245,246,0,0
13.801,510,255,255,0,0
13.826,486,243,243,0,0
13.851,490,245,245,0,0
13.876,491,245,246,0,0
